,name,E_O(eV),E_H (eV),E_CO2 (eV),E_CO (eV),substrate,dopant
0,Ag_Co,0.420556,0.29126,-0.2154,-2.33778,Ag,Co
1,Ag_Cr,-1.29417,-0.06932,-0.55266,-2.20352,Ag,Cr
2,Ag_Fe,-0.09741,-0.32693,-0.4661,-2.58491,Ag,Fe
3,Ag_Ir,1.097783,-0.70461,0.0603,-2.55684,Ag,Ir
4,Ag_Mn,-0.69349,-0.27392,-0.6392,-2.59237,Ag,Mn
5,Ag_Mo,-1.42292,-0.29354,-0.7882,-2.56587,Ag,Mo
6,Ag_Os,-0.16917,-0.81183,-0.4401,-3.0549,Ag,Os
7,Ag_Re,-1.27865,-0.71325,-0.7397,-3.08243,Ag,Re
8,Ag_Ru,0.401478,-0.49323,-0.3515,-2.69537,Ag,Ru
9,Ag_Ta,-2.14492,-0.30886,-1.082,-2.15923,Ag,Ta
10,Ag_Tc,-0.80362,-0.45615,-0.6179,-2.81404,Ag,Tc
11,Ag_V,-1.59849,-0.06047,-0.8351,-2.00839,Ag,V
12,Ag_W,-2.04263,-0.50969,-1.0117,-2.77271,Ag,W
13,Au_Co,1.265792,-0.07887,0.3733,-1.97175,Au,Co
14,Au_Cr,-0.47431,-1.83212,0.105581,0.29772,Au,Cr
15,Au_Fe,0.73728,-0.1428,0.2343,-2.17984,Au,Fe
16,Au_Ir,1.52641,-2.19685,-0.4635,0.699409,Au,Ir
17,Au_Mn,0.061009,-0.10269,0.1467,-2.17424,Au,Mn
18,Au_Mo,-0.65965,-1.94005,0.000908,0.307236,Au,Mo
19,Au_Os,0.428914,-2.55049,-0.55709,0.379894,Au,Os
20,Au_Re,-0.52798,-2.41719,-0.46199,0.310027,Au,Re
21,Au_Ru,0.922749,-0.38067,0.247,-2.36111,Au,Ru
22,Au_Ta,-1.07215,-1.54017,0.211358,0.277347,Au,Ta
23,Au_Tc,-0.19715,-0.3443,0.1288,-2.3868,Au,Tc
24,Au_V,-0.84224,0.213106,0.122,-1.64636,Au,V
25,Au_W,-1.17238,-2.09188,-0.19484,0.212967,Au,W
26,Cu_Co,-0.14784,-0.21505,-0.4628,-2.3666,Cu,Co
27,Cu_Cr,-1.16078,-0.06876,-0.865,-2.21112,Cu,Cr
28,Cu_Fe,-0.51006,-0.2156,-0.6722,-2.54118,Cu,Fe
29,Cu_Ir,0.407833,-0.58578,-0.2194,-2.5097,Cu,Ir
30,Cu_Mn,-0.64865,-0.15586,-0.7911,-2.47534,Cu,Mn
31,Cu_Mo,-1.25155,-0.73485,-0.7996,-2.23833,Cu,Mo
32,Cu_Os,-0.13151,-0.60824,-0.5394,-2.86272,Cu,Os
